ID,Titulli,Autoriteti Prokurues,Institucioni Prokurues,Vlera / Fondi Limit,Data e Shpalljes,Nr Reference,Red Flag Reason,Fituesi (Winner)
61822,Furnizim me ushqime,Qeverisja Vendore Kavajë,Shtepia e te Moshuarve Kavaje,8195600.0,29-01-2025,REF-36144-01-28-2025,Mungese konkurrence,4 S
66956,"Dhënien me qira, me konkurrim të sipërfaqeve me
vendndodhje ne fshatin Blacë Çërravë, për për kryerjen e operacioneve të kërkim-zbulimit
hidrokarbure, gjeologjike e minerare, uji, vendosje objektesh të ndryshme ndihmëse Bashkia
Pogradec",Qeverisja Vendore Pogradec,Bashkia Pogradec,312000.0,22-12-2025,1,Mungese konkurrence,BENAKS - 94 SHPK
67045,"Fillimi i proçedurave për dhënie me qira per 10 (dhjetë) vite, me anë të konkurrimit publik
për sipërfaqen në total 306.83 ha e ndarë në 5 lote, konkretisht LOTI II me sipërfaqe prej
54.18 ha, ngastrat nr.6/a dhe nr.7 në fshatin Mnele, “Per park fotovoltaik (stacionet, objektet
perkatese etj), sipas Udhëzimit nr.1, datë 9.6.2016, “Për rregullat, proçedurat e kërkimit, të
shqyrtimit e të miratimit të kërkesave për dhënie në përdorim të Fondit Pyjor dhe Kullosor
Publik”.",Qeverisja Vendore Vau i Dejës,Bashkia Vau Dejës,7747740.0,12-01-2026,1,Mungese konkurrence,E Pacaktuar
66859,Rikonstruksioni i urës pasarel Kallarat,Qeverisja Vendore Himarë,Bashkia Himare,1666667.0,09-12-2025,REF-65056-10-15-2025,Mungese konkurrence,2Z KONSTRUKSION SHPK
67013,“Blerje kompresori për ITUN”,Qeverisja Vendore Durrës,Shoqëria Rajonale Ujësjellës Kanalizime Durrës Sh.A,14936000.0,30-12-2025,REF-73393-12-29-2025,Mungese konkurrence,START CO SHPK
66789,Blerje bazë materiale për ndërtimin e trotuareve dhe rehabilitimin e shesheve,Qeverisja Vendore Patos,Bashkia Patos,7083042.0,21-11-2025,REF-69571-11-20-2025,Mungese konkurrence,E Pacaktuar
66905,"Investime te Bashkise per Mbrojtjen Civile (""Pastrimi i kolektoreve nga rruga Demokracia deri tek rruga Vasil Puka, Bashkia Vlore"")",Qeverisja Vendore Vlorë,Bashkia Vlore,12480003.0,12-12-2025,REF-71896-12-11-2025,Mungese konkurrence,T&J Construction sh.p.k
67019,Pajisje për mirmbajtjen e kamerave të qytetit,Qeverisja Vendore Kamëz,Bashkia Kamez,2800000.0,31-12-2025,REF-73527-12-30-2025,Mungese konkurrence,Adenis Kastrati
67006,Loti Nr. 4: “Blerje Mish Viçi”,Qeverisja Vendore Mat,Bashkia Mat,1400000.0,30-12-2025,REF-73457-12-29-2025,Mungese konkurrence,4 S
67007,Loti Nr. 3: “Blerje Bulmeti”,Qeverisja Vendore Mat,Bashkia Mat,3650000.0,30-12-2025,REF-73455-12-29-2025,Mungese konkurrence,4 S
67008,Loti Nr. 2: “Blerje Fruta – Perime”,Qeverisja Vendore Mat,Bashkia Mat,1798900.0,30-12-2025,REF-73453-12-29-2025,Mungese konkurrence,4 S
67009,Loti Nr. 1: “Blerje Ushqime”,Qeverisja Vendore Mat,Bashkia Mat,3158500.0,30-12-2025,REF-73451-12-29-2025,Mungese konkurrence,4 S
66679,Ruajtja dhe Siguria Fizike në roje private dhe shoqërimi i vlerave monetare për UKT sh.a”,Qeverisja Vendore Tiranë,SH.A Ujesjelles Kanalizime Tirane,216570000.0,19-11-2025,REF-69375-11-18-2025,Mungese konkurrence,BRECANI R.O.S.P. Shpk
66853,"Mbulim siguracion risku siguracion per kontraten e sherbimit, ndertesen dhe pergjegjesine civile, siguracion TPL auto , moto e kasko",Qeverisja Vendore Tiranë,ECO Tirana,8403959.0,09-12-2025,REF-71199-12-05-2025,Mungese konkurrence,ALB - SIGURACION
66318,"Mbikëqyrje objekti “Rindërtimi i Godinës Nr.32, “Fakle”, Rruga “Teodor Rupi”.",Qeverisja Vendore Durrës,Bashkia Durres,5002924.0,06-11-2025,REF-67824-11-05-2025,Mungese konkurrence,ERALD-G SHPK
